userID,itemID,rating
0,524,5
15,806,3
14,507,1
6,131,3
12,246,1
3,572,5
0,474,5
8,497,3
17,276,2
15,169,4
16,754,4
16,107,5
6,614,2
15,197,1
6,647,2
8,105,3
6,591,2
4,400,1
16,578,5
16,2,3
9,75,4
9,711,5
19,358,2
12,89,3
10,577,4
6,546,1
14,196,5
0,602,2
9,69,5
15,64,3
10,724,4
17,649,3
9,641,5
0,784,3
12,427,1
9,55,5
9,835,5
1,328,1
6,61,5
9,807,4
5,467,2
6,196,2
10,505,5
6,412,3
1,738,1
13,262,4
9,837,5
13,263,3
10,783,3
13,224,5
19,757,5
5,663,2
9,441,5
12,803,1
15,629,1
0,541,5
17,574,3
12,774,2
5,843,3
5,91,4
19,244,4
16,623,5
6,836,3
6,334,2
16,776,4
0,387,2
14,278,2
19,102,4
9,827,5
13,290,3
13,660,5
13,112,5
10,147,4
19,370,3
17,90,2
19,626,3
16,196,4
0,9,1
17,650,3
10,146,4
0,358,1
6,590,3
1,393,4
5,153,3
6,337,3
16,585,5
4,136,1
5,299,1
9,755,5
5,477,4
3,362,3
12,516,3
7,561,2
12,311,2
16,194,4
15,364,1
2,450,2
16,314,3
13,730,4
14,469,2
10,470,4
9,130,5
6,137,3
9,714,5
6,716,3
10,837,1
10,704,2
6,703,4
0,546,5
17,808,4
5,367,2
9,561,5
19,582,5
10,550,3
10,357,3
15,32,1
16,746,3
16,363,5
16,266,2
9,265,5
13,379,4
13,608,5
14,144,1
10,381,3
5,361,4
9,68,5
7,418,4
7,499,2
16,90,5
13,556,4
19,371,3
3,566,2
11,291,1
9,115,4
16,845,4
10,367,4
19,146,5
12,346,3
16,296,5
13,305,4
14,558,1
5,298,4
9,192,5
16,431,4
9,758,5
11,37,2
19,655,4
10,560,4
16,617,5
16,649,2
8,305,2
6,489,2
0,216,2
12,405,1
11,797,1
10,798,3
5,256,3
9,306,5
11,630,1
15,687,2
17,797,3
10,562,4
10,628,3
0,16,3
16,740,4
4,524,2
14,138,2
9,379,5
16,614,3
4,163,2
8,333,5
12,760,2
0,330,2
12,658,2
17,805,4
10,527,5
17,233,2
0,547,4
5,531,5
1,366,4
10,539,3
0,385,1
10,388,4
10,677,2
5,60,2
15,297,1
10,340,3
19,274,4
16,579,5
10,386,5
9,459,5
14,317,1
10,481,5
9,843,5
19,104,5
10,475,5
3,681,1
9,177,5
5,256,3
8,626,1
13,605,5
0,380,2
3,11,1
17,431,2
6,256,2
6,816,2
8,436,2
12,67,1
6,77,5
8,376,1
4,104,4
17,643,3
16,40,4
6,18,4
2,597,2
13,748,5
6,574,4
10,487,5
16,5,3
19,414,4
9,777,5
17,577,3
13,356,2
16,729,5
17,589,3
6,707,3
4,524,2
10,342,4
19,487,4
19,596,4
15,119,3
17,72,1
15,673,1
13,417,4
16,192,4
9,834,5
17,100,1
16,141,5
6,39,5
6,551,2
13,792,1
17,39,3
4,316,2
8,615,2
10,156,3
5,645,2
3,325,1
16,31,5
6,795,2
6,700,3
16,73,4
12,246,1
8,547,3
19,640,5
9,232,5
16,294,5
5,500,2
8,665,2
19,308,5
8,517,2
16,114,5
10,683,2
19,671,3
15,148,4
8,205,1
12,210,3
6,491,2
16,472,3
0,524,5
0,29,3
10,363,2
12,543,2
11,152,1
8,749,4
5,30,2
16,741,4
19,487,4
16,126,5
8,167,1
19,256,3
9,833,5
2,229,1
9,22,5
15,377,2
8,757,3
13,792,1
4,487,2
12,125,1
13,345,4
12,452,1
12,567,1
16,392,4
11,179,3
1,38,1
13,39,4
9,628,5
10,101,3
16,716,5
6,52,5
10,178,5
14,67,2
16,62,5
10,629,4
5,511,2
5,395,1
16,232,4
16,277,5
11,840,2
13,604,5
12,181,3
5,818,4
11,346,2
5,497,4
10,706,3
16,310,5
1,803,2
0,490,5
0,572,1
10,229,4
0,485,5
12,447,2
9,465,5
15,677,1
13,143,4
10,772,2
6,281,4
5,440,1
8,763,2
5,519,4
5,372,1
8,195,4
7,214,3
9,366,5
9,566,4
9,53,4
15,692,1
9,555,5
16,651,4
17,413,2
19,274,4
12,293,2
16,15,5
12,451,3
6,112,2
10,148,3
6,795,2
5,489,3
9,70,5
9,729,5
19,828,4
3,251,2
13,21,4
17,713,4
11,830,1
4,506,4
16,246,4
19,797,4
17,842,4
2,688,1
6,156,4
15,705,1
5,676,1
9,661,5
16,86,4
15,49,2
15,321,1
6,364,5
0,737,3
9,417,4
15,378,4
16,449,3
4,679,5
16,453,3
17,206,3
12,712,1
19,202,5
12,620,1
19,829,3
12,373,1
17,576,3
10,111,4
18,821,2
9,242,5
19,514,3
7,774,5
19,107,4
3,576,4
10,390,2
16,229,4
4,132,1
11,239,2
14,183,1
12,681,1
10,459,2
16,329,5
13,586,5
5,573,1
13,773,2
10,304,5
16,790,5
5,727,1
10,530,4
13,97,4
5,519,4
13,560,5
12,215,1
9,799,5
12,93,2
4,30,1
15,559,4
16,646,5
16,725,5
19,20,3
16,682,4
16,436,5
13,776,5
19,762,2
12,819,1
17,420,4
5,537,5
12,116,3
14,34,1
10,307,5
12,695,5
15,140,4
6,365,3
4,475,3
12,677,1
15,657,2
17,174,1
17,121,2
13,242,2
19,447,4
9,294,5
0,714,1
13,584,3
5,843,2
16,802,5
0,17,2
13,756,5
10,326,4
4,724,1
13,356,2
15,707,2
13,404,4
14,196,5
8,345,1
12,403,1
6,82,5
5,388,2
5,843,2
12,122,1
14,628,2
16,661,5
6,123,4
13,357,4
12,748,1
19,2,5
11,284,1
17,156,1
8,710,1
13,577,5
7,561,2
5,80,5
10,26,5
7,438,5
15,4,2
6,256,2
8,665,2
9,63,5
13,444,2
8,297,2
15,374,1
15,69,1
10,67,3
10,789,3
13,37,5
7,584,2
16,668,5
0,570,2
0,543,5
7,309,3
5,336,3
4,96,1
15,599,2
8,405,2
3,566,2
16,600,4
15,215,2
5,282,2
19,332,4
9,314,5
19,277,4
9,273,5
12,333,1
19,793,5
5,550,2
3,157,2
16,445,4
10,347,3
15,784,2
5,129,2
10,830,5
10,318,5
10,223,3
10,385,4
2,539,4
19,370,3
0,530,5
4,671,2
15,738,3
10,91,3
13,293,5
6,8,2
16,358,5
13,230,3
10,349,4
17,714,5
10,507,5
16,386,4
5,572,2
10,607,3
15,355,1
10,60,4
11,275,3
19,731,4
8,793,3
16,563,5
0,607,3
16,790,5
9,306,5
2,252,1
17,483,4
7,151,1
19,633,4
15,711,3
17,417,1
19,145,3
5,494,5
17,845,3
18,758,3
14,397,2
13,709,4
9,63,5
9,92,5
8,387,2
9,634,5
9,611,5
16,668,5
0,408,2
7,824,1
9,230,5
13,607,5
12,103,1
4,456,1
19,502,3
15,735,5
15,667,1
15,701,1
0,570,2
10,476,5
9,249,5
10,149,4
13,662,3
9,682,5
15,169,4
2,762,5
9,55,5
18,528,3
8,816,3
0,481,5
9,445,5
19,415,4
10,36,5
8,79,1
19,567,5
15,167,1
19,732,4
16,197,5
13,195,4
8,309,2
1,485,4
19,529,3
17,226,3
16,465,3
16,624,5
14,748,3
9,347,5
19,358,2
10,706,3
15,616,2
16,303,2
15,741,1
0,36,2
15,333,2
15,70,3
19,410,5
19,189,4
19,209,4
5,179,2
7,161,1
6,767,2
5,361,4
6,796,2
17,806,4
17,610,2
9,341,5
9,826,4
0,239,2
16,591,5
5,337,2
1,457,4
10,167,3
15,363,3
17,79,2
2,282,2
9,618,5
5,62,5
17,55,2
13,788,4
13,127,5
19,61,4
8,391,2
9,749,5
12,657,3
9,614,5
12,351,1
13,12,5
15,693,2
12,662,2
11,824,2
19,573,5
16,708,5
19,558,5
16,586,4
0,172,1
1,428,2
19,362,4
9,760,4
9,158,5
15,781,1
12,321,2
0,526,5
19,244,4
7,4,1
9,742,4
1,813,2
12,188,1
0,503,5
10,99,4
10,194,4
5,340,2
6,46,5
18,782,3
9,683,5
5,619,1
6,838,2
19,762,2
14,268,2
16,161,5
19,408,5
6,255,5
10,105,4
10,768,4
8,445,2
8,376,1
11,179,3
13,312,4
16,352,3
17,743,1
15,742,2
10,237,3
15,730,1
10,680,2
0,536,5
7,646,5
6,757,2
12,465,2
10,187,4
6,289,2
12,121,1
8,376,1
1,521,1
17,413,2
11,290,2
16,718,5
19,31,3
8,808,2
13,307,3
16,162,5
9,425,5
10,761,3
9,644,5
13,703,4
15,784,2
14,170,1
10,592,4
5,675,3
15,228,2
13,72,4
9,649,5
5,529,4
10,550,3
16,814,5
10,615,3
17,199,2
4,481,3
13,314,4
15,28,1
4,433,1
19,167,5
19,580,4
12,613,1
19,591,3
1,568,1
10,242,4
19,343,3
7,646,5
10,560,4
17,583,1
12,567,1
16,429,5
16,436,5
9,143,5
19,389,3
8,523,3
6,639,1
12,565,2
5,381,2
17,703,5
12,561,3
4,489,4
6,73,5
9,186,5
6,604,2
13,2,5
12,233,2
19,2,5
19,348,5
17,156,1
7,753,4
10,211,1
19,825,4
8,701,2
18,509,2
12,306,2
17,84,2
0,531,5
9,415,5
16,370,4
9,43,5
12,239,1
6,723,3
12,293,2
10,840,4
10,548,4
13,818,5
6,197,3
16,364,4
1,105,1
1,785,5
19,229,5
9,302,5
16,310,5
12,823,1
6,667,4
19,252,5
13,320,4
12,385,2
15,629,1
0,251,3
13,692,4
19,339,5
12,321,2
17,150,1
14,312,1
15,726,2
9,680,5
16,133,3
2,315,1
13,122,3
1,471,4
5,831,3
16,438,4
13,646,2
5,507,3
13,809,5
10,664,4
19,651,4
16,263,4
6,743,2
13,199,3
5,526,5
19,503,4
10,518,3
19,2,5
9,713,5
17,653,2
19,447,4
7,117,1
5,342,3
16,463,4
8,154,3
17,469,1
6,165,1
8,85,1
15,151,3
6,624,1
17,643,3
9,343,5
16,234,5
9,465,5
4,545,2
13,577,5
8,180,4
13,189,5
15,813,3
15,569,3
10,308,3
13,327,5
10,90,5
9,268,4
11,737,1
16,652,4
16,610,3
16,334,4
5,47,4
10,358,3
16,3,5
13,508,4
6,256,2
16,320,3
9,89,2
16,139,5
17,610,2
9,87,4
19,635,3
12,618,2
6,49,5
8,376,1
16,388,4
9,757,4
17,113,2
4,524,2
7,416,4
9,686,5
2,176,3
18,488,1
12,194,1
6,213,4
14,368,2
9,441,5
15,710,2
2,229,1
1,819,3
16,355,5
10,602,3
12,110,2
6,112,2
4,128,1
4,248,1
1,475,1
11,592,1
13,400,4
1,541,1
1,831,1
10,652,3
5,507,3
0,379,1
9,101,5
0,528,5
5,689,2
13,342,5
6,478,1
9,375,5
5,793,1
13,215,5
4,722,1
19,162,5
12,807,1
5,244,1
12,616,2
17,602,3
13,612,5
10,805,4
19,245,4
10,259,1
6,72,5
19,755,3
17,691,4
12,595,2
16,693,5
19,121,4
0,6,1
11,123,2
5,524,3
18,613,3
10,549,3
1,210,1
10,304,5
13,264,5
0,187,1
7,597,4
19,600,3
10,487,5
14,621,4
15,118,1
14,550,3
5,51,4
6,52,5
17,256,2
10,45,4
10,265,4
9,639,5
18,539,2
5,576,2
19,725,4
5,827,1
5,542,3
19,457,5
19,101,5
13,195,4
19,560,3
10,240,1
10,228,4
12,807,1
19,229,5
14,0,1
10,382,5
10,553,2
19,512,1
6,716,3
19,305,5
6,14,2
17,787,3
16,750,3
17,578,3
0,654,2
13,293,5
3,258,1
4,486,3
12,321,2
13,353,3
1,497,2
16,423,4
12,292,2
10,604,4
9,648,5
12,646,3
2,505,3
16,368,5
13,237,3
9,70,5
4,841,1
0,276,2
5,498,4
13,601,3
15,187,3
10,202,4
13,342,5
10,661,3
10,450,4
17,574,3
10,410,3
13,246,5
0,513,5
4,613,2
10,659,3
13,100,5
19,677,3
19,154,5
13,717,4
6,207,1
15,141,2
10,172,3
16,11,5
19,73,3
13,766,4
0,538,5
0,195,2
19,374,4
8,477,2
8,737,4
7,138,3
19,276,5
15,39,1
9,629,5
10,232,3
5,199,2
14,748,3
9,188,3
5,495,4
16,133,3
15,778,2
12,464,2
0,498,5
10,751,2
